date_level,population,stock number,total portion
"20161104_5,001-10,000",394,"3,336,000",4.26
"20161104_10,001-15,000",141,"1,901,000",2.43
"20161104_15,001-20,000",131,"2,481,000",3.17
"20161104_20,001-30,000",137,"3,637,000",4.65
"20161104_30,001-40,000",62,"2,267,000",2.89
"20161104_40,001-50,000",54,"2,586,000",3.30
"20161104_50,001-100,000",98,"7,125,000",9.11
"20161104_100,001-200,000",43,"6,523,000",8.34
"20161104_200,001-400,000",28,"8,254,000",10.55
"20161104_400,001-600,000",8,"4,218,000",5.39
"20161104_600,001-800,000",4,"2,774,000",3.54
"20161104_800,001-1,000,000",2,"1,853,000",2.36
"20161104_1,000,001以上",14,"28,366,000",36.27
20161028_1-999,0,0,0.00
"20161028_1,000-5,000",680,"1,803,000",3.86
"20161028_5,001-10,000",227,"1,977,000",4.23
"20161028_10,001-15,000",70,"962,000",2.06
"20161028_15,001-20,000",82,"1,574,000",3.37
"20161028_20,001-30,000",71,"1,878,000",4.02
"20161028_30,001-40,000",32,"1,175,000",2.51
"20161028_40,001-50,000",39,"1,894,000",4.05
"20161028_50,001-100,000",35,"2,929,000",6.27
"20161028_100,001-200,000",19,"2,880,000",6.16
"20161028_200,001-400,000",16,"4,853,000",10.39
"20161028_400,001-600,000",5,"2,688,000",5.75
"20161028_600,001-800,000",1,"800,000",1.71
"20161028_800,001-1,000,000",5,"4,773,000",10.22
"20161028_1,000,001以上",9,"16,501,000",35.34
20161021_1-999,0,0,0.00
"20161021_1,000-5,000",365,"960,000",2.76
"20161021_5,001-10,000",125,"1,130,000",3.25
"20161021_10,001-15,000",37,"514,000",1.48
"20161021_15,001-20,000",27,"521,000",1.50
"20161021_20,001-30,000",38,"988,000",2.84
"20161021_30,001-40,000",7,"261,000",0.75
"20161021_40,001-50,000",24,"1,171,000",3.37
"20161021_50,001-100,000",15,"1,160,000",3.34
"20161021_100,001-200,000",14,"2,068,000",5.96
"20161021_200,001-400,000",8,"2,367,000",6.82
"20161021_400,001-600,000",2,"1,078,000",3.10
"20161021_600,001-800,000",0,0,0.00
"20161021_800,001-1,000,000",1,"1,000,000",2.88
"20161021_1,000,001以上",9,"21,469,000",61.89
20161014_1-999,0,0,0.00
"20161014_1,000-5,000",428,"1,118,000",3.22
"20161014_5,001-10,000",138,"1,261,000",3.63
"20161014_10,001-15,000",37,"510,000",1.47
"20161014_15,001-20,000",30,"589,000",1.69
"20161014_20,001-30,000",35,"934,000",2.69
"20161014_30,001-40,000",5,"181,000",0.52
"20161014_40,001-50,000",28,"1,376,000",3.96
"20161014_50,001-100,000",15,"1,198,000",3.45
"20161014_100,001-200,000",8,"1,148,000",3.30
"20161014_200,001-400,000",6,"1,727,000",4.97
"20161014_400,001-600,000",5,"2,615,000",7.53
"20161014_600,001-800,000",0,0,0.00
"20161014_800,001-1,000,000",1,"1,000,000",2.88
"20161014_1,000,001以上",9,"21,030,000",60.62
20161007_1-999,0,0,0.00
"20161007_1,000-5,000",823,"2,744,000",7.91
"20161007_5,001-10,000",295,"2,720,000",7.84
"20161007_10,001-15,000",72,"1,016,000",2.92
"20161007_15,001-20,000",52,"1,026,000",2.95
"20161007_20,001-30,000",62,"1,628,000",4.69
"20161007_30,001-40,000",7,"252,000",0.72
"20161007_40,001-50,000",48,"2,389,000",6.88
"20161007_50,001-100,000",16,"1,512,000",4.35
"20161007_100,001-200,000",6,"970,000",2.79
"20161007_200,001-400,000",0,0,0.00
"20161007_400,001-600,000",1,"500,000",1.44
"20161007_600,001-800,000",0,0,0.00
"20161007_800,001-1,000,000",1,"1,000,000",2.88
"20161007_1,000,001以上",9,"18,930,000",54.57
