date_level,population,stock number,total portion
"20161111_200,001-400,000",41,"11,134,574",5.34
"20161111_400,001-600,000",23,"10,805,575",5.18
"20161111_600,001-800,000",8,"5,286,285",2.53
"20161111_800,001-1,000,000",3,"2,639,770",1.26
"20161111_1,000,001以上",23,"73,242,992",35.15
20161104_1-999,"9,294","698,912",0.33
"20161104_1,000-5,000","10,522","20,536,995",9.85
"20161104_5,001-10,000","2,410","15,377,450",7.38
"20161104_10,001-15,000","1,158","12,782,560",6.13
"20161104_15,001-20,000",348,"5,835,090",2.80
"20161104_20,001-30,000",473,"10,783,371",5.17
"20161104_30,001-40,000",161,"5,330,994",2.55
"20161104_40,001-50,000",102,"4,393,247",2.10
"20161104_50,001-100,000",208,"13,897,423",6.67
"20161104_100,001-200,000",113,"15,685,820",7.52
"20161104_200,001-400,000",41,"11,034,574",5.29
"20161104_400,001-600,000",23,"10,864,709",5.21
"20161104_600,001-800,000",8,"5,286,285",2.53
"20161104_800,001-1,000,000",3,"2,639,770",1.26
"20161104_1,000,001以上",23,"73,177,992",35.12
20161028_1-999,"9,235","698,960",0.33
"20161028_1,000-5,000","10,523","20,518,476",9.84
"20161028_5,001-10,000","2,418","15,415,306",7.39
"20161028_10,001-15,000","1,167","12,914,172",6.19
"20161028_15,001-20,000",353,"5,921,950",2.84
"20161028_20,001-30,000",477,"10,884,511",5.22
"20161028_30,001-40,000",160,"5,286,694",2.53
"20161028_40,001-50,000",103,"4,433,887",2.12
"20161028_50,001-100,000",205,"13,600,161",6.52
"20161028_100,001-200,000",114,"15,767,745",7.56
"20161028_200,001-400,000",40,"10,751,574",5.16
"20161028_400,001-600,000",23,"10,841,709",5.20
"20161028_600,001-800,000",8,"5,286,285",2.53
"20161028_800,001-1,000,000",3,"2,649,770",1.27
"20161028_1,000,001以上",23,"73,353,992",35.21
20161021_1-999,"9,202","696,036",0.33
"20161021_1,000-5,000","10,448","20,276,366",9.73
"20161021_5,001-10,000","2,379","15,080,778",7.23
"20161021_10,001-15,000","1,171","12,951,167",6.21
"20161021_15,001-20,000",340,"5,684,700",2.72
"20161021_20,001-30,000",482,"11,002,604",5.28
"20161021_30,001-40,000",158,"5,215,114",2.50
"20161021_40,001-50,000",102,"4,381,477",2.10
"20161021_50,001-100,000",207,"13,743,208",6.59
"20161021_100,001-200,000",110,"15,065,717",7.23
"20161021_200,001-400,000",42,"11,370,037",5.45
"20161021_400,001-600,000",23,"10,959,248",5.26
"20161021_600,001-800,000",9,"6,054,978",2.90
"20161021_800,001-1,000,000",3,"2,629,770",1.26
"20161021_1,000,001以上",23,"73,213,992",35.14
20161014_1-999,"9,183","699,759",0.33
"20161014_1,000-5,000","10,418","20,149,320",9.67
"20161014_5,001-10,000","2,395","15,135,794",7.26
"20161014_10,001-15,000","1,167","12,893,911",6.18
"20161014_15,001-20,000",341,"5,693,904",2.73
"20161014_20,001-30,000",484,"11,017,402",5.28
"20161014_30,001-40,000",154,"5,081,514",2.43
"20161014_40,001-50,000",101,"4,337,657",2.08
"20161014_50,001-100,000",208,"13,770,109",6.60
"20161014_100,001-200,000",112,"15,517,337",7.44
"20161014_200,001-400,000",40,"10,947,134",5.25
"20161014_400,001-600,000",22,"10,402,611",4.99
"20161014_600,001-800,000",10,"6,739,978",3.23
"20161014_800,001-1,000,000",3,"2,629,770",1.26
"20161014_1,000,001以上",23,"73,308,992",35.18
20161007_1-999,"9,156","702,344",0.33
"20161007_1,000-5,000","10,430","20,144,434",9.66
"20161007_5,001-10,000","2,377","14,971,971",7.18
"20161007_10,001-15,000","1,176","12,993,727",6.23
"20161007_15,001-20,000",335,"5,596,503",2.68
"20161007_20,001-30,000",486,"11,057,391",5.30
"20161007_30,001-40,000",152,"5,003,614",2.40
"20161007_40,001-50,000",103,"4,427,077",2.12
"20161007_50,001-100,000",209,"13,822,629",6.63
"20161007_100,001-200,000",108,"15,019,871",7.20
